0,1,2,3,4,5,6,7,8,9,10,11,12,13
PSYC,1101,82524,403,NO BOOKS FOR COURSE,,,,,,,,,
NUTR,2100,82787,403,Understanding Nutrition,Required,"Used $115.19, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",Edition: 16th,ISBN: 9780357447512,Author: Whitney,Publisher: Cengage Learning,"Formats: Hardcover, BryteWave Format",Copyright Year: 2022,Publication Date: TBD
NUTR,2100,82787,403,Packback Questions with Instruct,Required,"New $57.00,",Author: Packback,Publisher: Packback Inc.,,Publication Date: TBD,,,
POLS,1101,83249,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2102,81510,403,"Accounting: Tools for Business Decision Making, 8e WileyPLUS API Single Term",Required,"Digital $93.50,",Edition: 8th,ISBN: 9781119799757,Author: Kimmel,"Publisher: John Wiley & Sons, Incorporated",Formats: Adobe Digital Editions,Copyright Year: 2022,Publication Date: TBD
ACCT,2102,81510,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
BUSA,1105,86650,403,"Free ""Open Educational Resources"" are required for this course. Please see your Instructor.",,,,,,,,,
NUTR,3100,82860,403,Nutrition & You (RRPHE),Required,"Used $79.99, New $79.99, Digital $43.96, Digital $116.25,",Edition: 6th,ISBN: 9780137652860,Author: Blake,Publisher: PH - (Rental Rev Share) IST from 1594 ONLY,"Formats: Hardcover, BryteWave Format",Copyright Year: 2023,Publication Date: TBD
NUTR,3100,82860,403,Packback Questions with Instruct,Required,"New $57.00,",Author: Packback,Publisher: Packback Inc.,,Publication Date: TBD,,,
PERS,2001,88897,403,NO BOOKS FOR COURSE,,,,,,,,,
PERS,2003,89220,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
ACCT,2101,84196,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,84196,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required Choose Only 1 of 2,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,84196,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required Choose Only 1 of 2,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,86090,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,86090,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required Choose Only 1 of 2,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,86090,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required Choose Only 1 of 2,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
BUSA,1105,86649,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
PERS,2002,88878,403,NO BOOKS FOR COURSE,,,,,,,,,
ACCT,2101,80951,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,80951,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required Choose Only 1 of 2,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,80951,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required Choose Only 1 of 2,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
PSYC,1101,82545,403,Achieve for Exploring Psychology (1-Term),Required,"Digital $83.25,",Edition: 12th,ISBN: 9781319369903,Author: Myers,Publisher: MPS (Macmillan Publishers),Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
